number,value,datetime_start,datetime_complete,duration,params_batch_size,params_char_dropout,params_dx_dropout,params_learning_rate,user_attrs_external_accuracy,user_attrs_test_accuracy,user_attrs_val_accuracy,state
1,0.8295686274509804,2023-08-29 18:03:06.999720,2023-08-29 18:25:50.175478,0 days 00:22:43.175758,32,0.6464704583099741,0.3232334448672798,4.207053950287933e-05,0.6557926200783344,0.7977224880382776,0.8295686274509804,COMPLETE
13,0.8113725490196079,2023-08-29 22:39:00.968330,2023-08-29 23:02:30.085769,0 days 00:23:29.117439,32,0.6145929019853349,0.5737588250486564,1.2555051474687078e-05,0.7145433931148217,0.7913301435406699,0.8113725490196079,COMPLETE
2,0.808156862745098,2023-08-29 18:25:50.359692,2023-08-29 18:48:12.459047,0 days 00:22:22.099355,16,0.6329770563201687,0.6879639408647977,1.2087541473056957e-05,0.7020717377860235,0.8169760765550239,0.808156862745098,COMPLETE
8,0.808156862745098,2023-08-29 20:42:37.367070,2023-08-29 21:05:29.676446,0 days 00:22:52.309376,16,0.31375540844608735,0.498070764044508,3.077180271250682e-05,0.6149247577819006,0.7577224880382776,0.808156862745098,COMPLETE
3,0.8063529411764705,2023-08-29 18:48:12.625175,2023-08-29 19:10:46.308682,0 days 00:22:33.683507,16,0.5099025726528951,0.4216968971838151,5.415244119402538e-05,0.7251597608740465,0.8042296650717704,0.8063529411764705,COMPLETE
12,0.8019607843137255,2023-08-29 22:15:35.615562,2023-08-29 22:39:00.724090,0 days 00:23:25.108528,32,0.6041369269195294,0.5953622178900082,0.00010442563816936246,0.7762317048031333,0.818622009569378,0.8019607843137255,COMPLETE
11,0.8015686274509803,2023-08-29 21:52:05.991540,2023-08-29 22:15:35.386791,0 days 00:23:29.395251,32,0.6910214617450245,0.6630659181130071,1.1520439733391979e-05,0.6584724799010513,0.8017607655502392,0.8015686274509803,COMPLETE
14,0.7899607843137255,2023-08-29 23:02:30.320885,2023-08-29 23:25:56.151344,0 days 00:23:25.830459,32,0.5582567499892932,0.5505179966997742,0.0002875487819196237,0.6075036075036075,0.761799043062201,0.7899607843137255,COMPLETE
0,0.7769411764705882,2023-08-29 17:41:01.296388,2023-08-29 18:03:06.821665,0 days 00:22:05.525277,16,0.592797576724562,0.6802857225639665,0.00031489116479568613,0.6508451865594723,0.7514066985645933,0.7769411764705882,COMPLETE
10,0.7729411764705882,2023-08-29 21:28:39.748144,2023-08-29 21:52:05.764934,0 days 00:23:26.016790,32,0.6878148443151464,0.30239887318232683,0.00026852004421939096,0.7120696763553906,0.7665837320574163,0.7729411764705882,COMPLETE
6,0.7329411764705882,2023-08-29 19:56:31.520727,2023-08-29 20:19:46.365008,0 days 00:23:14.844281,32,0.3260206371941118,0.3682096494749166,0.0026926469100861782,0.6997526283240569,0.6924593301435407,0.7329411764705882,COMPLETE
7,0.7067450980392156,2023-08-29 20:19:46.572023,2023-08-29 20:42:37.147733,0 days 00:22:50.575710,16,0.3390688456025535,0.42184550766934825,0.01712337597316398,0.6415172129457845,0.6814354066985646,0.7067450980392156,COMPLETE
5,0.6973333333333334,2023-08-29 19:33:49.384812,2023-08-29 19:56:31.341866,0 days 00:22:41.957054,16,0.5056937753654446,0.37986951286334386,0.013826232179369865,0.6776953205524634,0.7125358851674641,0.6973333333333334,COMPLETE
4,0.6799215686274509,2023-08-29 19:10:46.528089,2023-08-29 19:33:49.182769,0 days 00:23:02.654680,32,0.41685785941408726,0.3557975442608167,0.0028016351587162596,0.6713564213564214,0.64688995215311,0.6799215686274509,COMPLETE
9,0.6745098039215687,2023-08-29 21:05:29.866311,2023-08-29 21:28:39.551437,0 days 00:23:09.685126,16,0.5080272084711243,0.42468443043576437,0.004467752817973905,0.6056483199340342,0.6397511961722488,0.6745098039215687,COMPLETE
