number,value,datetime_start,datetime_complete,duration,params_batch_size,params_char_dropout,params_dx_dropout,params_learning_rate,user_attrs_external_accuracy,user_attrs_test_accuracy,user_attrs_val_accuracy,state
12,0.8413327120223673,2023-08-29 17:05:29.600070,2023-08-29 17:42:37.067862,0 days 00:37:07.467792,16,0.6969616086450252,0.5318340130650804,1.379656658295138e-05,0.7481962481962482,0.8345454545454545,0.8413327120223673,COMPLETE
8,0.8380475302889097,2023-08-29 14:37:56.069850,2023-08-29 15:14:45.455997,0 days 00:36:49.386147,16,0.31375540844608735,0.498070764044508,3.077180271250682e-05,0.7687074829931972,0.8441531100478469,0.8380475302889097,COMPLETE
11,0.8273066169617893,2023-08-29 16:28:30.128329,2023-08-29 17:05:29.389831,0 days 00:36:59.261502,16,0.6885083047980897,0.5307190873479775,1.0778170771186716e-05,0.8016388373531231,0.825799043062201,0.8273066169617893,COMPLETE
2,0.8186859273066169,2023-08-29 10:58:49.737139,2023-08-29 11:35:03.806155,0 days 00:36:14.069016,16,0.6329770563201687,0.6879639408647977,1.2087541473056957e-05,0.7687590187590188,0.8521531100478469,0.8186859273066169,COMPLETE
3,0.8186160298229264,2023-08-29 11:35:03.987097,2023-08-29 12:11:33.192779,0 days 00:36:29.205682,16,0.5099025726528951,0.4216968971838151,5.415244119402538e-05,0.7607709750566893,0.8353301435406699,0.8186160298229264,COMPLETE
1,0.817008387698043,2023-08-29 10:22:41.698731,2023-08-29 10:58:49.559132,0 days 00:36:07.860401,32,0.6464704583099741,0.3232334448672798,4.207053950287933e-05,0.8018965161822305,0.8448995215311005,0.817008387698043,COMPLETE
10,0.8164958061509786,2023-08-29 15:51:37.711092,2023-08-29 16:28:29.928552,0 days 00:36:52.217460,32,0.40274386440740445,0.5788953769327311,0.00031488906768578346,0.7662337662337663,0.8545454545454545,0.8164958061509786,COMPLETE
0,0.8132805219012116,2023-08-29 09:46:49.953523,2023-08-29 10:22:41.529079,0 days 00:35:51.575556,16,0.592797576724562,0.6802857225639665,0.00031489116479568613,0.7917955060812203,0.826622009569378,0.8132805219012116,COMPLETE
14,0.8121854613233923,2023-08-29 18:19:41.592129,2023-08-29 18:56:48.834269,0 days 00:37:07.242140,16,0.5604037336867704,0.5894594901179913,0.0003042896725369736,0.7712327355184498,0.8473684210526315,0.8121854613233923,COMPLETE
13,0.8051724137931034,2023-08-29 17:42:37.280284,2023-08-29 18:19:41.375110,0 days 00:37:04.094826,16,0.4349513410003076,0.5142497056141959,7.554335794938056e-05,0.756648113790971,0.8457607655502393,0.8051724137931034,COMPLETE
4,0.7217381174277726,2023-08-29 12:11:33.367226,2023-08-29 12:48:02.794717,0 days 00:36:29.427491,32,0.41685785941408726,0.3557975442608167,0.0028016351587162596,0.6897031539888683,0.7179904306220095,0.7217381174277726,COMPLETE
6,0.7158201304753029,2023-08-29 13:24:40.404519,2023-08-29 14:01:15.896094,0 days 00:36:35.491575,32,0.3260206371941118,0.3682096494749166,0.0026926469100861782,0.7234590806019378,0.7124593301435407,0.7158201304753029,COMPLETE
9,0.7051724137931035,2023-08-29 15:14:45.656315,2023-08-29 15:51:37.507234,0 days 00:36:51.850919,16,0.5080272084711243,0.42468443043576437,0.004467752817973905,0.6340960626674912,0.678066985645933,0.7051724137931035,COMPLETE
5,0.6988816402609506,2023-08-29 12:48:02.977919,2023-08-29 13:24:40.200922,0 days 00:36:37.223003,16,0.5056937753654446,0.37986951286334386,0.013826232179369865,0.6224489795918368,0.7092822966507177,0.6988816402609506,COMPLETE
7,0.6904007455731593,2023-08-29 14:01:16.089167,2023-08-29 14:37:55.856956,0 days 00:36:39.767789,16,0.3390688456025535,0.42184550766934825,0.01712337597316398,0.6389919604205319,0.6821435406698564,0.6904007455731593,COMPLETE
