number,value,datetime_start,datetime_complete,duration,params_batch_size,params_char_dropout,params_dx_dropout,params_learning_rate,user_attrs_external_accuracy,user_attrs_test_accuracy,user_attrs_val_accuracy,state
4,0.8177966101694916,2023-08-30 01:15:44.377348,2023-08-30 01:39:19.633477,0 days 00:23:35.256129,32,0.41685785941408726,0.3557975442608167,0.00010952662748632558,0.6252834467120181,0.759063088512241,0.8177966101694916,COMPLETE
6,0.8050847457627119,2023-08-30 02:02:33.131590,2023-08-30 02:26:15.734165,0 days 00:23:42.602575,32,0.3260206371941118,0.3682096494749166,0.00010769622478263136,0.638476602762317,0.7294020715630884,0.8050847457627119,COMPLETE
13,0.7966101694915254,2023-08-30 04:48:04.691734,2023-08-30 05:11:54.989856,0 days 00:23:50.298122,32,0.3566253231793134,0.3677711110697275,4.220039606512515e-05,0.6918676561533704,0.7366996233521658,0.7966101694915254,COMPLETE
3,0.7923728813559322,2023-08-30 00:52:32.839119,2023-08-30 01:15:44.178238,0 days 00:23:11.339119,16,0.5099025726528951,0.4216968971838151,2.049268011541735e-05,0.698155019583591,0.7832705586942875,0.7923728813559322,COMPLETE
5,0.7923728813559322,2023-08-30 01:39:19.829723,2023-08-30 02:02:32.952631,0 days 00:23:13.122908,16,0.5056937753654446,0.37986951286334386,0.0002157696745589684,0.6415687487116059,0.7740505335844319,0.7923728813559322,COMPLETE
10,0.7796610169491526,2023-08-30 03:36:35.311598,2023-08-30 04:00:26.173788,0 days 00:23:50.862190,32,0.40280862636161247,0.5799500039686389,0.00042042158801352034,0.6380127808699237,0.7660075329566856,0.7796610169491526,COMPLETE
0,0.7796610169491525,2023-08-29 23:43:45.884696,2023-08-30 00:06:19.203020,0 days 00:22:33.318324,16,0.592797576724562,0.6802857225639665,4.3284502212938785e-05,0.7554627911770768,0.7532956685499058,0.7796610169491525,COMPLETE
8,0.7754237288135593,2023-08-30 02:49:38.579916,2023-08-30 03:13:05.748870,0 days 00:23:27.168954,16,0.31375540844608735,0.498070764044508,1.6119044727609182e-05,0.6585755514326943,0.7355618330194602,0.7754237288135593,COMPLETE
1,0.771186440677966,2023-08-30 00:06:19.371683,2023-08-30 00:29:36.846388,0 days 00:23:17.474705,32,0.6464704583099741,0.3232334448672798,1.8408992080552506e-05,0.6611523397237683,0.723987758945386,0.771186440677966,COMPLETE
2,0.771186440677966,2023-08-30 00:29:37.038651,2023-08-30 00:52:32.657841,0 days 00:22:55.619190,16,0.6329770563201687,0.6879639408647977,1.0838581269344744e-05,0.6738301381158525,0.749450721908349,0.771186440677966,COMPLETE
7,0.771186440677966,2023-08-30 02:26:15.946372,2023-08-30 02:49:38.396154,0 days 00:23:22.449782,16,0.3390688456025535,0.42184550766934825,0.000236288641842364,0.6661513090084519,0.7544334588826114,0.771186440677966,COMPLETE
9,0.771186440677966,2023-08-30 03:13:05.948488,2023-08-30 03:36:35.081400,0 days 00:23:29.132912,16,0.5080272084711243,0.42468443043576437,0.00013353819088790598,0.6743454957740672,0.7563559322033898,0.771186440677966,COMPLETE
14,0.7669491525423728,2023-08-30 05:11:55.228139,2023-08-30 05:35:45.601828,0 days 00:23:50.373689,32,0.450642924582858,0.48941801913613775,0.00011750452805238053,0.6638837353123067,0.7259102322661645,0.7669491525423728,COMPLETE
11,0.7584745762711864,2023-08-30 04:00:26.392640,2023-08-30 04:24:14.503512,0 days 00:23:48.110872,32,0.4084655989752752,0.3154900799844732,5.91181273665954e-05,0.7328901257472686,0.7621233521657251,0.7584745762711864,COMPLETE
12,0.7457627118644068,2023-08-30 04:24:14.731977,2023-08-30 04:48:04.438677,0 days 00:23:49.706700,32,0.4045993398280391,0.5106368221577907,9.318450626771146e-05,0.7101628530199959,0.7609855618330195,0.7457627118644068,COMPLETE
