number,value,datetime_start,datetime_complete,duration,params_batch_size,params_char_dropout,params_dx_dropout,params_learning_rate,user_attrs_external_accuracy,user_attrs_test_accuracy,user_attrs_val_accuracy,state
1,0.8375349487418453,2023-09-11 15:47:31.500995,2023-09-11 16:23:37.392791,0 days 00:36:05.891796,32,0.6464704583099741,0.3232334448672798,1.8408992080552506e-05,0.7966398680684394,0.817799043062201,0.8375349487418453,COMPLETE
8,0.8338070829450139,2023-09-11 20:02:26.165190,2023-09-11 20:39:11.993184,0 days 00:36:45.827994,16,0.31375540844608735,0.498070764044508,1.6119044727609182e-05,0.7738610595753452,0.8434066985645933,0.8338070829450139,COMPLETE
11,0.8337371854613234,2023-09-11 21:52:47.877121,2023-09-11 22:29:40.221016,0 days 00:36:52.343895,32,0.40217738350607946,0.5671452703350357,1.0619608849529109e-05,0.8067408781694496,0.8521913875598086,0.8337371854613234,COMPLETE
13,0.8310344827586207,2023-09-11 23:06:27.850765,2023-09-11 23:43:19.340493,0 days 00:36:51.489728,32,0.43700639749510267,0.599138251896047,2.1227077410658563e-05,0.7968975468975469,0.8217607655502392,0.8310344827586207,COMPLETE
12,0.8305917986952469,2023-09-11 22:29:40.432027,2023-09-11 23:06:27.619906,0 days 00:36:47.187879,32,0.587352152856701,0.5206860403245274,2.251419931577102e-05,0.7843743558029272,0.8505837320574162,0.8305917986952469,COMPLETE
10,0.8304520037278658,2023-09-11 21:16:03.957161,2023-09-11 21:52:47.674804,0 days 00:36:43.717643,32,0.6878148443151464,0.30239887318232683,4.045266535674757e-05,0.8170995670995671,0.829799043062201,0.8304520037278658,COMPLETE
14,0.8294967381174277,2023-09-11 23:43:19.563973,2023-09-12 00:20:19.669355,0 days 00:37:00.105382,16,0.6653145375043046,0.4837591779643964,3.926754845958001e-05,0.7666975881261595,0.8401913875598086,0.8294967381174277,COMPLETE
3,0.8284016775396086,2023-09-11 16:59:49.950787,2023-09-11 17:36:15.239738,0 days 00:36:25.288951,16,0.5099025726528951,0.4216968971838151,2.049268011541735e-05,0.7891156462585034,0.8241913875598086,0.8284016775396086,COMPLETE
5,0.818103448275862,2023-09-11 18:12:38.887869,2023-09-11 18:49:13.263468,0 days 00:36:34.375599,16,0.5056937753654446,0.37986951286334386,0.0002157696745589684,0.7841166769738198,0.8377224880382775,0.818103448275862,COMPLETE
6,0.8176607642124883,2023-09-11 18:49:13.456586,2023-09-11 19:25:43.831277,0 days 00:36:30.374691,32,0.3260206371941118,0.3682096494749166,0.00010769622478263136,0.7792207792207793,0.8281913875598086,0.8176607642124883,COMPLETE
0,0.8154007455731593,2023-09-11 15:11:43.948082,2023-09-11 15:47:31.330670,0 days 00:35:47.382588,16,0.592797576724562,0.6802857225639665,4.3284502212938785e-05,0.7740156668728098,0.8409377990430622,0.8154007455731593,COMPLETE
9,0.8148881640260951,2023-09-11 20:39:12.190023,2023-09-11 21:16:03.749470,0 days 00:36:51.559447,16,0.5080272084711243,0.42468443043576437,0.00013353819088790598,0.7662337662337663,0.8441148325358852,0.8148881640260951,COMPLETE
2,0.8126281453867661,2023-09-11 16:23:37.589284,2023-09-11 16:59:49.779123,0 days 00:36:12.189839,16,0.6329770563201687,0.6879639408647977,1.0838581269344744e-05,0.7711811997526283,0.8369760765550239,0.8126281453867661,COMPLETE
4,0.806780055917987,2023-09-11 17:36:15.424044,2023-09-11 18:12:38.696709,0 days 00:36:23.272665,32,0.41685785941408726,0.3557975442608167,0.00010952662748632558,0.8200371057513914,0.8441531100478469,0.806780055917987,COMPLETE
7,0.8056150978564771,2023-09-11 19:25:44.021037,2023-09-11 20:02:25.969014,0 days 00:36:41.947977,16,0.3390688456025535,0.42184550766934825,0.000236288641842364,0.7767470624613482,0.8170143540669856,0.8056150978564771,COMPLETE
